Buckhurst Hill,1
North Harrow,1
Boston Manor,1
Sudbury Hill,1
Northwood,1
Mile End,1
Chalk Farm,1
Elm Park,1
Nine Elms,2
St James's Park,2
Richmond,2
Oxford Circus,2
Eastcote,2
Aldgate,3
Highgate,3
Goodge Street,3
Barbican,3
Chesham,3
Paddington,4
Kenton,4
Hainault,5
Angel,5
Acton Town,6
Bromley-by-Bow,7
Blackfriars,7
Maida Vale,7
Epping,10
Chiswick Park,11
Croxley,12
Redbridge,13
Cockfosters,18
Holborn,19
Kingsbury,20
Brixton,20
Stockwell,22
Edgware,22
St Paul's,26
Chigwell,27
Moor Park,29
Kilburn,33
Hornchurch,35
White City,39
Upney,40
Ruislip,42
Oval,46
Hillingdon,64
Dollis Hill,69
Shepherd's Bush,92
Oakwood,108
Archway,117
Vauxhall,127
St John's Wood,149
Temple,154
Loughton,164
Debden,168
Borough,207
Balham,254
Pimlico,369
Woodford,436
Bank,445